                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5973,                 4.5659,                 1.4028,                0.58358,                0.34143,                0.25541,                0.11192,                      0,                    inf,                      0,               0.070252,              0.0033053,              0.0033053
                      1,                 2.0672,                 2.1015,                 1.1222,                0.22416,                0.27539,                0.20001,                0.07477,                      0,                    inf,                      0,               0.039923,                0.00631,                0.00631
                      2,                 2.0523,                 1.9403,                 1.1131,                0.27873,                0.42713,                0.29065,                0.12185,                      0,                    inf,                      0,              0.0092649,              0.0089848,              0.0089848
                      3,                 2.0545,                 1.8239,                 1.1236,                0.31239,                0.45109,                0.31592,                0.12323,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                      4,                 2.0216,                 1.7776,                 1.1041,                0.37473,                0.43926,                0.34258,                0.14513,                      0,                    inf,                      0,               0.008515,               0.008515,               0.008515
                      5,                 1.9671,                    inf,                 1.0862,                0.37043,                0.40531,                0.33172,                0.12622,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                      6,                 1.9468,                 1.6118,                 1.0799,                0.39169,                0.42443,                 0.3636,                0.16098,                      0,                    inf,                      0,               0.007525,               0.007525,               0.007525
                      7,                 1.9472,                 1.5968,                 1.0833,                0.47312,                0.48912,                0.42324,                0.19025,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                      8,                 1.8985,                 1.5333,                 1.0723,                0.44464,                0.57958,                0.48175,                0.22035,                      0,                    inf,                      0,               0.006535,               0.006535,               0.006535
                      9,                 1.8861,                 1.5004,                 1.0632,                0.47245,                0.55134,                0.49131,                0.22889,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     10,                 1.8311,                 1.4403,                 1.0973,                0.44887,                0.57419,                 0.4773,                0.20553,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     11,                 1.7969,                  1.385,                 1.0899,                 0.4172,                0.58597,                0.47331,                0.22753,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     12,                 1.7643,                 1.3299,                 1.0712,                0.45296,                0.59119,                0.47958,                0.22213,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                     13,                 1.7453,                 1.3069,                 1.0692,                0.47999,                0.58219,                0.48603,                0.23121,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     14,                 1.7167,                 1.2672,                 1.0534,                 0.4903,                 0.5961,                0.51425,                0.23786,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                     15,                 1.7032,                 1.2371,                 1.0501,                0.48846,                0.61272,                0.51737,                0.24909,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     16,                 1.6781,                 1.1953,                 1.0423,                0.50207,                0.62273,                0.54401,                0.25986,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                     17,                 1.6432,                 1.1661,                 1.0397,                0.50512,                0.63822,                0.53905,                 0.2593,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     18,                 1.6076,                 1.1052,                  1.033,                0.50725,                0.64452,                0.55055,                0.27026,                      0,                    inf,                      0,               0.001585,               0.001585,               0.001585
                     19,                 1.6016,                 1.0808,                 1.0288,                0.49791,                 0.6673,                0.55478,                0.26802,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
