                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.663,                 5.2304,                 1.4181,                0.18812,                0.36239,                0.19551,                0.06634,                      0,                    inf,                      0,               0.077056,              0.0098333,              0.0098333
                      1,                 2.2651,                  2.422,                 1.1936,                0.16921,                0.25433,                0.15479,                0.05166,                      0,                    inf,                      0,                0.05346,               0.019572,               0.019572
                      2,                 2.3705,                 2.3641,                 1.2636,                0.50092,                 0.1334,                0.08983,                0.02956,                      0,                    inf,                      0,               0.029601,               0.029046,               0.029046
                      3,                 2.3586,                 2.2576,                 1.2552,                0.02933,                0.02581,                0.00666,                0.00205,                      0,                    inf,                      0,               0.028812,               0.028812,               0.028812
                      4,                 2.2513,                 2.0872,                 1.2104,                0.36855,                0.04263,                0.01086,                0.00381,                      0,                    inf,                      0,               0.028812,               0.028812,               0.028812
                      5,                 2.1797,                  1.973,                 1.1865,                0.19668,                0.17202,                0.09072,                0.03558,                      0,                    inf,                      0,               0.028416,               0.028416,               0.028416
                      6,                 2.1205,                  1.899,                 1.1741,                0.22092,                 0.2677,                0.19361,                0.07591,                      0,                    inf,                      0,                0.02802,                0.02802,                0.02802
                      7,                 2.1081,                 1.8281,                 1.1646,                0.39697,                0.30814,                 0.2664,                0.11038,                      0,                    inf,                      0,               0.027624,               0.027624,               0.027624
                      8,                 2.0673,                 1.7888,                 1.1581,                0.33965,                0.39375,                 0.3021,                0.13077,                      0,                    inf,                      0,               0.027228,               0.027228,               0.027228
                      9,                 2.0394,                 1.7623,                 1.1385,                0.32101,                0.35809,                0.27618,                0.11617,                      0,                    inf,                      0,               0.026832,               0.026832,               0.026832
                     10,                 2.0061,                 1.7042,                 1.1346,                 0.4194,                0.45181,                 0.3849,                0.16117,                      0,                    inf,                      0,               0.026436,               0.026436,               0.026436
                     11,                 1.9916,                 1.6844,                 1.1328,                0.40533,                0.38789,                 0.3381,                0.15054,                      0,                    inf,                      0,                0.02604,                0.02604,                0.02604
                     12,                  2.017,                 1.6526,                  1.118,                0.80627,                0.07319,                0.09789,                0.03742,                      0,                    inf,                      0,               0.025644,               0.025644,               0.025644
                     13,                 1.9573,                 1.6238,                 1.1098,                0.30926,                0.47922,                0.36038,                0.16233,                      0,                    inf,                      0,               0.025248,               0.025248,               0.025248
                     14,                 1.9345,                 1.5823,                 1.1029,                0.37197,                0.49282,                0.38097,                 0.1759,                      0,                    inf,                      0,               0.024852,               0.024852,               0.024852
                     15,                 1.9205,                 1.5741,                 1.1142,                0.41154,                0.48891,                0.40967,                0.18759,                      0,                    inf,                      0,               0.024456,               0.024456,               0.024456
                     16,                 1.9193,                 1.5349,                 1.1017,                0.39908,                0.51137,                0.41711,                0.18834,                      0,                    inf,                      0,                0.02406,                0.02406,                0.02406
                     17,                 1.8885,                 1.5457,                 1.0969,                0.41613,                0.53383,                0.42597,                0.19357,                      0,                    inf,                      0,               0.023664,               0.023664,               0.023664
                     18,                 1.8952,                  1.548,                 1.1063,                0.41587,                0.51778,                0.41828,                0.19482,                      0,                    inf,                      0,               0.023268,               0.023268,               0.023268
                     19,                 1.8782,                 1.5133,                 1.0914,                0.43125,                0.50196,                0.43852,                0.19621,                      0,                    inf,                      0,               0.022872,               0.022872,               0.022872
                     20,                 1.8654,                 1.4632,                 1.0827,                0.39508,                0.53675,                0.43574,                0.20597,                      0,                    inf,                      0,               0.022476,               0.022476,               0.022476
                     21,                 1.8707,                  1.477,                 1.0878,                0.46358,                0.50521,                0.45898,                0.21308,                      0,                    inf,                      0,                0.02208,                0.02208,                0.02208
                     22,                 1.8235,                 1.4136,                 1.0711,                0.43064,                0.52036,                0.44999,                0.20265,                      0,                    inf,                      0,               0.021684,               0.021684,               0.021684
                     23,                 1.8172,                 1.4048,                 1.0716,                0.41294,                0.56985,                0.44966,                0.20448,                      0,                    inf,                      0,               0.021288,               0.021288,               0.021288
                     24,                 1.8322,                 1.4273,                 1.0754,                 0.4299,                0.55255,                0.45907,                0.21841,                      0,                    inf,                      0,               0.020892,               0.020892,               0.020892
                     25,                 1.8349,                 1.4183,                 1.0667,                0.44572,                0.55377,                 0.4704,                0.21874,                      0,                    inf,                      0,               0.020496,               0.020496,               0.020496
                     26,                 1.7902,                 1.3504,                 1.0577,                0.46762,                0.59589,                0.48211,                0.22596,                      0,                    inf,                      0,                 0.0201,                 0.0201,                 0.0201
                     27,                 1.8023,                 1.5095,                 1.0639,                0.48952,                0.52174,                0.48356,                0.23029,                      0,                    inf,                      0,               0.019704,               0.019704,               0.019704
                     28,                 1.7779,                 1.3393,                 1.0622,                0.43336,                0.52162,                0.44906,                0.21197,                      0,                    inf,                      0,               0.019308,               0.019308,               0.019308
                     29,                  1.777,                 1.3382,                 1.0681,                0.46096,                0.55928,                0.48432,                0.23343,                      0,                    inf,                      0,               0.018912,               0.018912,               0.018912
                     30,                  1.758,                 1.3049,                  1.049,                 0.4772,                0.57231,                 0.4949,                0.23289,                      0,                    inf,                      0,               0.018516,               0.018516,               0.018516
                     31,                 1.7723,                 1.3281,                 1.0618,                0.44509,                0.58538,                0.49005,                0.23282,                      0,                    inf,                      0,                0.01812,                0.01812,                0.01812
                     32,                 1.7801,                 1.3213,                 1.0701,                0.48568,                0.60825,                0.49988,                0.24268,                      0,                    inf,                      0,               0.017724,               0.017724,               0.017724
                     33,                 1.7364,                 1.2727,                 1.0424,                0.42148,                0.48169,                0.43517,                 0.2086,                      0,                    inf,                      0,               0.017328,               0.017328,               0.017328
                     34,                 1.7356,                 1.2658,                 1.0598,                0.46304,                0.55592,                0.49248,                0.23958,                      0,                    inf,                      0,               0.016932,               0.016932,               0.016932
                     35,                 1.7248,                 1.2597,                 1.0466,                0.46225,                0.61447,                 0.5014,                0.24098,                      0,                    inf,                      0,               0.016536,               0.016536,               0.016536
                     36,                 1.7114,                 1.2272,                 1.0364,                0.45175,                0.55915,                0.50169,                0.23761,                      0,                    inf,                      0,                0.01614,                0.01614,                0.01614
                     37,                 1.6922,                 1.2189,                 1.0332,                0.45329,                0.59248,                0.49448,                0.23994,                      0,                    inf,                      0,               0.015744,               0.015744,               0.015744
                     38,                 1.6753,                 1.1943,                 1.0321,                 0.4588,                0.61318,                0.50193,                0.23591,                      0,                    inf,                      0,               0.015348,               0.015348,               0.015348
                     39,                 1.6861,                 1.2327,                 1.0325,                0.50507,                0.60373,                0.53279,                0.25887,                      0,                    inf,                      0,               0.014952,               0.014952,               0.014952
                     40,                 1.6946,                 1.1991,                 1.0356,                0.48063,                0.55925,                0.47652,                0.22709,                      0,                    inf,                      0,               0.014556,               0.014556,               0.014556
                     41,                 1.6782,                 1.1957,                 1.0343,                0.48408,                0.59938,                0.49716,                0.23788,                      0,                    inf,                      0,                0.01416,                0.01416,                0.01416
                     42,                 1.6408,                 1.1584,                 1.0244,                 0.5142,                0.57582,                0.51095,                0.24852,                      0,                    inf,                      0,               0.013764,               0.013764,               0.013764
                     43,                 1.6555,                 1.1673,                 1.0196,                 0.4646,                0.61422,                 0.4982,                0.23679,                      0,                    inf,                      0,               0.013368,               0.013368,               0.013368
                     44,                 1.6493,                 1.1664,                 1.0123,                0.45828,                0.61432,                0.49489,                 0.2356,                      0,                    inf,                      0,               0.012972,               0.012972,               0.012972
                     45,                 1.6536,                  1.182,                 1.0186,                0.49831,                0.59799,                0.51138,                0.24884,                      0,                    inf,                      0,               0.012576,               0.012576,               0.012576
                     46,                 1.6347,                 1.1338,                 1.0177,                0.50385,                0.55973,                0.50975,                0.25269,                      0,                    inf,                      0,                0.01218,                0.01218,                0.01218
                     47,                 1.6333,                 1.1183,                0.99894,                0.46397,                0.58056,                0.49272,                0.23894,                      0,                    inf,                      0,               0.011784,               0.011784,               0.011784
